reference,package,via_index,x_mm,y_mm,finished_hole_mm,treatment
U103,AK5558VN QFN-64,1,95.2500,40.2500,0.20,IPC-4761 Type VII resin filled and copper capped
U103,AK5558VN QFN-64,2,95.2500,41.6250,0.20,IPC-4761 Type VII resin filled and copper capped
U103,AK5558VN QFN-64,3,95.2500,43.0000,0.20,IPC-4761 Type VII resin filled and copper capped
U103,AK5558VN QFN-64,4,95.2500,44.3750,0.20,IPC-4761 Type VII resin filled and copper capped
U103,AK5558VN QFN-64,5,95.2500,45.7500,0.20,IPC-4761 Type VII resin filled and copper capped
U103,AK5558VN QFN-64,6,96.6250,40.2500,0.20,IPC-4761 Type VII resin filled and copper capped
U103,AK5558VN QFN-64,7,96.6250,41.6250,0.20,IPC-4761 Type VII resin filled and copper capped
U103,AK5558VN QFN-64,8,96.6250,43.0000,0.20,IPC-4761 Type VII resin filled and copper capped
U103,AK5558VN QFN-64,9,96.6250,44.3750,0.20,IPC-4761 Type VII resin filled and copper capped
U103,AK5558VN QFN-64,10,96.6250,45.7500,0.20,IPC-4761 Type VII resin filled and copper capped
U103,AK5558VN QFN-64,11,98.0000,40.2500,0.20,IPC-4761 Type VII resin filled and copper capped
U103,AK5558VN QFN-64,12,98.0000,41.6250,0.20,IPC-4761 Type VII resin filled and copper capped
U103,AK5558VN QFN-64,13,98.0000,43.0000,0.20,IPC-4761 Type VII resin filled and copper capped
U103,AK5558VN QFN-64,14,98.0000,44.3750,0.20,IPC-4761 Type VII resin filled and copper capped
U103,AK5558VN QFN-64,15,98.0000,45.7500,0.20,IPC-4761 Type VII resin filled and copper capped
U103,AK5558VN QFN-64,16,99.3750,40.2500,0.20,IPC-4761 Type VII resin filled and copper capped
U103,AK5558VN QFN-64,17,99.3750,41.6250,0.20,IPC-4761 Type VII resin filled and copper capped
U103,AK5558VN QFN-64,18,99.3750,43.0000,0.20,IPC-4761 Type VII resin filled and copper capped
U103,AK5558VN QFN-64,19,99.3750,44.3750,0.20,IPC-4761 Type VII resin filled and copper capped
U103,AK5558VN QFN-64,20,99.3750,45.7500,0.20,IPC-4761 Type VII resin filled and copper capped
U103,AK5558VN QFN-64,21,100.7500,40.2500,0.20,IPC-4761 Type VII resin filled and copper capped
U103,AK5558VN QFN-64,22,100.7500,41.6250,0.20,IPC-4761 Type VII resin filled and copper capped
U103,AK5558VN QFN-64,23,100.7500,43.0000,0.20,IPC-4761 Type VII resin filled and copper capped
U103,AK5558VN QFN-64,24,100.7500,44.3750,0.20,IPC-4761 Type VII resin filled and copper capped
U103,AK5558VN QFN-64,25,100.7500,45.7500,0.20,IPC-4761 Type VII resin filled and copper capped
U203,AK4458VN QFN-48,1,95.6750,66.6750,0.20,IPC-4761 Type VII resin filled and copper capped
U203,AK4458VN QFN-48,2,95.6750,67.8375,0.20,IPC-4761 Type VII resin filled and copper capped
U203,AK4458VN QFN-48,3,95.6750,69.0000,0.20,IPC-4761 Type VII resin filled and copper capped
U203,AK4458VN QFN-48,4,95.6750,70.1625,0.20,IPC-4761 Type VII resin filled and copper capped
U203,AK4458VN QFN-48,5,95.6750,71.3250,0.20,IPC-4761 Type VII resin filled and copper capped
U203,AK4458VN QFN-48,6,96.8375,66.6750,0.20,IPC-4761 Type VII resin filled and copper capped
U203,AK4458VN QFN-48,7,96.8375,67.8375,0.20,IPC-4761 Type VII resin filled and copper capped
U203,AK4458VN QFN-48,8,96.8375,69.0000,0.20,IPC-4761 Type VII resin filled and copper capped
U203,AK4458VN QFN-48,9,96.8375,70.1625,0.20,IPC-4761 Type VII resin filled and copper capped
U203,AK4458VN QFN-48,10,96.8375,71.3250,0.20,IPC-4761 Type VII resin filled and copper capped
U203,AK4458VN QFN-48,11,98.0000,66.6750,0.20,IPC-4761 Type VII resin filled and copper capped
U203,AK4458VN QFN-48,12,98.0000,67.8375,0.20,IPC-4761 Type VII resin filled and copper capped
U203,AK4458VN QFN-48,13,98.0000,69.0000,0.20,IPC-4761 Type VII resin filled and copper capped
U203,AK4458VN QFN-48,14,98.0000,70.1625,0.20,IPC-4761 Type VII resin filled and copper capped
U203,AK4458VN QFN-48,15,98.0000,71.3250,0.20,IPC-4761 Type VII resin filled and copper capped
U203,AK4458VN QFN-48,16,99.1625,66.6750,0.20,IPC-4761 Type VII resin filled and copper capped
U203,AK4458VN QFN-48,17,99.1625,67.8375,0.20,IPC-4761 Type VII resin filled and copper capped
U203,AK4458VN QFN-48,18,99.1625,69.0000,0.20,IPC-4761 Type VII resin filled and copper capped
U203,AK4458VN QFN-48,19,99.1625,70.1625,0.20,IPC-4761 Type VII resin filled and copper capped
U203,AK4458VN QFN-48,20,99.1625,71.3250,0.20,IPC-4761 Type VII resin filled and copper capped
U203,AK4458VN QFN-48,21,100.3250,66.6750,0.20,IPC-4761 Type VII resin filled and copper capped
U203,AK4458VN QFN-48,22,100.3250,67.8375,0.20,IPC-4761 Type VII resin filled and copper capped
U203,AK4458VN QFN-48,23,100.3250,69.0000,0.20,IPC-4761 Type VII resin filled and copper capped
U203,AK4458VN QFN-48,24,100.3250,70.1625,0.20,IPC-4761 Type VII resin filled and copper capped
U203,AK4458VN QFN-48,25,100.3250,71.3250,0.20,IPC-4761 Type VII resin filled and copper capped
