"Reference","Value","Footprint","Manufacturer","MPN","Assembly","Qty","DNP"
"C1100","5600uF 50V","","Nichicon","LGU1H562MELZ","","1",""
"C1101","5600uF 50V","","Nichicon","LGU1H562MELZ","","1",""
"C1102","5600uF 50V","","Nichicon","LGU1H562MELZ","","1",""
"C1103","5600uF 50V","","Nichicon","LGU1H562MELZ","","1",""
"C1104","5600uF 50V DNP","","Nichicon","LGU1H562MELZ","DNP - hold-up option","1",""
"C1105","5600uF 50V DNP","","Nichicon","LGU1H562MELZ","DNP - hold-up option","1",""
"C1106","5600uF 50V DNP","","Nichicon","LGU1H562MELZ","DNP - hold-up option","1",""
"C1107","5600uF 50V DNP","","Nichicon","LGU1H562MELZ","DNP - hold-up option","1",""
"C1108","2200uF 50V DNP","","Nichicon","UHE1H222MHD6","DNP - 47 mF option","1",""
"C1109","1uF 50V X7R","","","","","1",""
"C1110","47nF","","Murata","GRM188R71H473KA61D","","1",""
"C1111","6.8nF","","Murata","GRM1885C1H682JA01D","","1",""
"C1112","150pF C0G","","Murata","GRM1885C1H151JA01D","","1",""
"C1113","47uF 6.3V X7R","","Murata","GCM32ER70J476KE19L","","1",""
"C1114","47uF 6.3V X7R","","Murata","GCM32ER70J476KE19L","","1",""
"C1115","47uF 6.3V X7R","","Murata","GCM32ER70J476KE19L","","1",""
"C1116","47uF 6.3V X7R","","Murata","GCM32ER70J476KE19L","","1",""
"C1117","47uF 6.3V X7R","","Murata","GCM32ER70J476KE19L","","1",""
"C1118","100nF 25V X7R","","Murata","GRM188R71E104KA01D","","1",""
"C1119","4.7uF 10V X7R","","Murata","GRM21BR71A475KA73L","","1",""
"C1120","220pF","","","","","1",""
"C1121","100nF","","","","","1",""
"C1122","33nF","","","","","1",""
"C1123","560pF","","","","","1",""
"C1124","330uF 16V polymer","","Panasonic","16SVP330M","","1",""
"C1125","330uF 16V polymer","","Panasonic","16SVP330M","","1",""
"C1126","330uF 16V polymer","","Panasonic","16SVP330M","","1",""
"C1127","330uF 16V polymer","","Panasonic","16SVP330M","","1",""
"C1128","100nF 25V","","","","","1",""
"C1129","100nF 25V","","","","","1",""
"C1130","100nF","","","","","1",""
"C1131","4.7uF 50V","","","","","1",""
"C1132","4.7uF 50V","","","","","1",""
"C1133","47uF X7R","","Murata","GRM32ER71A476KE15L","","1",""
"C1134","47uF X7R","","Murata","GRM32ER71A476KE15L","","1",""
"C1135","47uF X7R","","Murata","GRM32ER71A476KE15L","","1",""
"C1136","1uF 10V X7R","","Murata","GRM188R71A105KA61D","","1",""
"C1138","4.7nF","","","","","1",""
"C1140","100nF","","","","","1",""
"C1141","4.7uF 50V","","","","","1",""
"C1142","4.7uF 50V","","","","","1",""
"C1143","47uF X7R","","Murata","GRM32ER71A476KE15L","","1",""
"C1144","47uF X7R","","Murata","GRM32ER71A476KE15L","","1",""
"C1145","47uF X7R","","Murata","GRM32ER71A476KE15L","","1",""
"C1146","1uF 10V X7R","","Murata","GRM188R71A105KA61D","","1",""
"C1149","10nF","","","","","1",""
"C1150","100nF","","","","","1",""
"C1151","4.7uF 50V","","","","","1",""
"C1152","4.7uF 50V","","","","","1",""
"C1153","47uF X7R","","Murata","GRM32ER71A476KE15L","","1",""
"C1154","47uF X7R","","Murata","GRM32ER71A476KE15L","","1",""
"C1155","47uF X7R","","Murata","GRM32ER71A476KE15L","","1",""
"C1156","1uF 10V X7R","","Murata","GRM188R71A105KA61D","","1",""
"C1160","100nF","","","","","1",""
"C1161","4.7uF 50V","","","","","1",""
"C1162","4.7uF 50V","","","","","1",""
"C1163","47uF X7R","","Murata","GRM32ER71A476KE15L","","1",""
"C1164","47uF X7R","","Murata","GRM32ER71A476KE15L","","1",""
"C1165","47uF X7R","","Murata","GRM32ER71A476KE15L","","1",""
